101 -25 20
103 -30 20
105 -15 19
107 -171 19
109 81 19
111 65 19
113 -91 19
115 91 19
117 96 16
119 -252 16
121 -101 16
123 201 16
125 483 16
127 458 16
129 126 13
131 101 13
133 -126 13
135 45 13
137 15 13
139 -91 13
141 -81 11
143 -141 11
145 136 11
147 50 11
149 -45 11
151 161 11
153 -221 11
155 -186 9
157 176 9
159 -50 9

101 0,08589586614660163
101,29145728643216 0,08796304751541913
101,58291457286433 0,09010511038046795
101,87437185929649 0,09232568246745278
102,16582914572864 0,09462861174205744
102,4572864321608 0,09701798248384454
102,74874371859296 0,09949813272998367
103,04020100502512 0,10207367322217348
103,33165829145729 0,1047495080046957
103,62311557788945 0,1075308568378814
103,91457286432161 0,11042327960960352
104,20603015075378 0,11343270294800543
104,49748743718592 0,11656544926183687
104,78894472361809 0,11982826846084249
105,08040201005025 0,12322837263803046
105,37185929648241 0,12677347402880698
105,66331658291458 0,13047182659940176
105,95477386934674 0,13433227165935288
106,2462311557789 0,1383642879407427
106,53768844221105 0,14257804664118479
106,82914572864321 0,14698447198916584
107,12060301507537 0,15159530796030143
107,41206030150754 0,15642319185259052
107,7035175879397 0,16148173551923747
107,99497487437186 0,1667856151606774
108,28643216080403 0,17235067069494067
108,57788944723617 0,1781940158595665
108,86934673366834 0,18433416035138644
109,1608040201005 0,19079114548547313
109,45226130653266 0,19758669505465526
109,74371859296483 0,20474438329993114
110,03517587939699 0,21228982216416403
110,32663316582915 0,22025087030143906
110,6180904522613 0,22865786665791044
110,90954773869346 0,2375438918330741
111,20100502512562 0,2469450608800712
111,49246231155779 0,2569008517175643
111,78391959798995 0,2674544739122288
112,07537688442211 0,27865328325893185
112,36683417085428 0,2905492483444371
112,65829145728642 0,30319947613911225
112,94974874371859 0,31666680462795277
113,24120603015075 0,33102047157366266
113,53266331658291 0,3463368697033892
113,82412060301507 0,36270039992357495
114,11557788944724 0,3802044355809863
114,4070351758794 0,39895241227337735
114,69849246231156 0,41905905921778075
114,98994974874373 0,4406517896197853
115,28140703517587 0,46387226871221626
115,57286432160804 0,4888781789277667
115,8643216080402 0,5158452017059129
116,15577889447236 0,5449692342156197
116,44723618090453 0,5764688560734715
116,73869346733669 0,6105880548900586
117,03015075376885 0,6475992086508968
117,321608040201 0,6878063053329693
117,61306532663316 0,7315483526511832
117,90452261306532 0,77920288902804
118,19597989949749 0,8311894446774826
118,48743718592965 0,8879727107200656
118,77889447236181 0,9500650432470088
119,07035175879398 1,0180277434843235
119,36180904522612 1,0924702960934807
119,65326633165829 1,1740463931254186
119,94472361809045 1,2634450976778286
120,23618090452261 1,3613748890881907
120,52763819095478 1,4685375755984384
120,81909547738694 1,5855881919349646
121,1105527638191 1,713076121856861
121,40201005025125 1,8513620334276566
121,69346733668341 2,0005052321671144
121,98492462311557 2,160117470013357
122,27638190954774 2,3291831978612967
122,5678391959799 2,50585408702882
122,85929648241206 2,687238592396676
123,15075376884423 2,86922547462542
123,44221105527637 3,0464008338758655
123,73366834170854 3,2121339455495104
124,0251256281407 3,358905395903929
124,31658291457286 3,4789172159291755
124,60804020100502 3,564951948784539
124,89949748743719 3,611349096915004
125,19095477386935 3,6148823810041906
125,4824120603015 3,5753010459771755
125,77386934673368 3,495373150774386
126,06532663316582 3,3804174091271175
126,35678391959799 3,2374651695679724
126,64824120603015 3,0742837760697275
126,93969849246231 2,8984868189493933
127,23115577889448 2,716878898345601
127,52261306532662 2,5350829410059115
127,8140703517588 2,3574195799661286
128,10552763819095 2,186968071640417
128,39698492462313 2,0257321658908127
128,68844221105527 1,8748482136808184
128,97989949748745 1,7347932839259705
129,2713567839196 1,6055698964319032
129,56281407035175 1,4868578135878858
129,85427135678393 1,3781319321503511
130,14572864321607 1,2787498009021467
130,43718592964825 1,1880140472753964
130,7286432160804 1,1052151834561477
131,02010050251255 1,0296596818501405
131,31155778894473 0,9606873485696168
131,60301507537687 0,8976811439985104
131,89447236180905 0,8400718218247423
132,1859296482412 0,7873391220859305
132,47738693467338 0,7390107589049643
132,76884422110552 0,6946600713445147
133,0603015075377 0,6539029327761654
133,35175879396985 0,616394317847562
133,643216080402 0,5818247873387487
133,93467336683418 0,549917054575774
134,22613065326632 0,5204227308321749
134,5175879396985 0,4931193025027152
134,80904522613065 0,4678073633436767
135,1005025125628 0,4443081061018351
