# x_n y_n
0 3,041592653589793
0,125 3,037692910752026
0,145 3,0363638498975676
0,16499999999999998 3,0348319699800825
0,18499999999999997 3,033095243886373
0,20499999999999996 3,031151249027535
0,22499999999999995 3,02899716474646
0,24499999999999994 3,026629768989512
0,26499999999999996 3,024045434244293
0,285 3,0212401227447554
0,305 3,018209380944315
0,325 3,0149483332571596
0,34500000000000003 3,011451675067582
0,36500000000000005 3,0077136650069467
0,38500000000000006 3,003728116497842
0,4050000000000001 2,9994883885650716
0,4250000000000001 2,994987375913446
0,4450000000000001 2,9902174982728824
0,46500000000000014 2,98517068901209
0,48500000000000015 2,979838383023216
0,5050000000000001 2,97421150388122
0,5250000000000001 2,9682804502835354
0,5450000000000002 2,9620350817777723
0,5650000000000002 2,9554647037878965
0,5850000000000002 2,948558051952547
0,6050000000000002 2,94130327579298
0,6250000000000002 2,933687921732657
0,6450000000000002 2,9256989154957966
0,6650000000000003 2,9173225439184036
0,6850000000000003 2,9085444362124524
0,7050000000000003 2,899349544732206
0,7250000000000003 2,889722125301191
0,7450000000000003 2,8796457171693
0,7650000000000003 2,869103122682007
0,7850000000000004 2,8580763867579746
0,8050000000000004 2,8465467762875454
0,8250000000000004 2,8344947595830505
0,8450000000000004 2,8218999860326837
0,8650000000000004 2,8087412661332065
0,8850000000000005 2,794996552103217
0,9050000000000005 2,7806429193084132
0,9250000000000005 2,765656548763555
0,9450000000000005 2,7500127110129617
0,9650000000000005 2,733685751732723
0,9850000000000005 2,716649079443677
1,0050000000000006 2,698875155774933
1,0250000000000006 2,6803354887736157
1,0450000000000006 2,6610006298178006
1,0650000000000006 2,6408401747565975
1,0850000000000006 2,6198227699740837
1,1050000000000006 2,597916124152386
1,1250000000000007 2,5750870265935517
1,1450000000000007 2,551301373049655
1,1650000000000007 2,5265242001053614
1,1850000000000007 2,5007197292561285
1,2050000000000007 2,473851421927229
1,2250000000000008 2,445882046782212
1,2450000000000008 2,4167737607722657
1,2650000000000008 2,386488205477387
1,2850000000000008 2,35498662038297
1,3050000000000008 2,322229974817041
1,3250000000000008 2,2881791203387642
1,3450000000000009 2,252794965411735
1,3650000000000009 2,216038674208606
1,385000000000001 2,1778718913682122
1,405000000000001 2,138256994452817
1,425000000000001 2,097157375720446
1,445000000000001 2,0545377546236003
1,465000000000001 2,0103645221581705
1,485000000000001 1,9646061178019367
1,505000000000001 1,9172334392876262
1,525000000000001 1,868220284838884
1,545000000000001 1,8175438267483517
1,565000000000001 1,7651851142879849
1,585000000000001 1,7111296029098193
1,605000000000001 1,6553677055237335
1,625000000000001 1,5978953603382515
1,6450000000000011 1,538714608341567
1,6650000000000011 1,4778341720145527
1,6850000000000012 1,4152700253500157
1,7050000000000012 1,3510459437608993
1,7250000000000012 1,2851940210661388
1,7450000000000012 1,2177551395305997
1,7650000000000012 1,1487793779991886
1,7850000000000013 1,0783263426051268
1,8047058104319826 1,007532633987727
1,8237399551303286 0,9379261375758781
1,8419408200015663 0,8703119649754412
1,8592816519665911 0,8050020677201407
1,8758086658079531 0,7420129476552594
1,8916009511247724 0,6812056839361784
1,906747396975763 0,6223735536706986
1,921334790622712 0,5652918082481361
1,9354425124941308 0,5097433030185419
1,9491408180978451 0,45552994640053346
1,9624909133056472 0,40247637797333324
1,9755458237809174 0,3504297004574826
1,988351533878438 0,29925742558481416
2,0009481381114393 0,24884479237835855
2,013370892743872 0,1990920411964079
2,0256511295322777 0,1499119090251597
2,0378170297645313 0,10122744285702234
2,0498942725406977 0,052970143303709666
2,061906576681794 0,005078411798343084
2,0738761561180117 -0,042503739822787025
2,0858241069310486 -0,08982776096096597
2,0977707418440907 -0,13694145549479886
2,1097358855586275 -0,1838897315925286
2,1217391422282312 -0,2307152372004254
2,1338001446346695 -0,2774589047348949
2,145938793292387 -0,3241604234724407
2,158175492708387 -0,3708586536094969
2,170531391296857 -0,4175919917595778
